time,x,y,action,interactions,target_obj
2023-07-07 19:21:05.326836,146,264,walking,none,none
2023-07-07 19:21:05.534630,177,267,walking,none,none
2023-07-07 19:21:05.741592,210,261,walking,none,none
2023-07-07 19:21:05.946075,237,266,walking,none,none
2023-07-07 19:21:06.150491,277,261,walking,none,none
2023-07-07 19:21:06.355298,296,259,walking,none,none
2023-07-07 19:21:06.562795,353,270,walking,none,none
2023-07-07 19:21:06.771869,407,263,walking,none,none
2023-07-07 19:21:06.977737,396,252,walking,none,none
2023-07-07 19:21:07.183615,413,250,walking,none,none
2023-07-07 19:21:07.388632,441,246,walking,none,none
2023-07-07 19:21:07.592963,474,250,walking,none,none
2023-07-07 19:21:07.797494,472,232,sitting,none,none
2023-07-07 19:21:08.002403,490,232,sitting,reading,book
2023-07-07 19:21:08.207251,503,218,sitting,none,none
2023-07-07 19:21:08.413895,523,221,standing,none,none
2023-07-07 19:21:08.622417,508,220,standing,none,none
2023-07-07 19:21:08.829032,501,225,standing,reading,book
2023-07-07 19:21:09.035109,536,210,walking,none,none
2023-07-07 19:21:09.240283,516,196,standing,none,none
2023-07-07 19:21:09.444531,557,171,walking,none,none
2023-07-07 19:21:09.648954,498,156,sitting,none,none
2023-07-07 19:21:09.854446,499,165,sitting,none,none
2023-07-07 19:21:10.064042,478,175,sitting,none,none
2023-07-07 19:21:10.273464,478,185,sitting,reading,book
2023-07-07 19:21:10.480191,472,187,sitting,reading,book
2023-07-07 19:21:10.689944,458,186,sitting,reading,book
2023-07-07 19:21:10.894691,469,194,sitting,reading,book
2023-07-07 19:21:11.100082,461,189,sitting,none,none
2023-07-07 19:21:11.304757,480,196,sitting,reading,book
2023-07-07 19:21:11.509952,511,198,standing,reading,book
2023-07-07 19:21:11.717828,490,189,sitting,reading,book
2023-07-07 19:21:11.926314,500,202,sitting,reading,book
2023-07-07 19:21:12.132097,451,179,sitting,none,none
2023-07-07 19:21:12.337584,454,178,sitting,none,none
2023-07-07 19:21:12.542764,504,206,sitting,reading,book
2023-07-07 19:21:12.747265,498,191,sitting,reading,book
2023-07-07 19:21:12.951682,515,202,walking,reading,book
2023-07-07 19:21:13.156860,502,194,sitting,none,none
2023-07-07 19:21:13.364287,475,201,sitting,none,none
2023-07-07 19:21:13.572916,472,210,sitting,none,none
2023-07-07 19:21:13.778208,462,203,sitting,none,none
2023-07-07 19:21:13.983297,473,209,sitting,none,none
2023-07-07 19:21:14.188719,467,203,sitting,none,none
2023-07-07 19:21:14.393817,477,201,sitting,none,none
2023-07-07 19:21:14.598494,472,204,sitting,none,none
2023-07-07 19:21:14.804851,472,204,sitting,none,none
2023-07-07 19:21:15.015533,485,217,sitting,reading,book
2023-07-07 19:21:15.223238,467,200,sitting,none,none
2023-07-07 19:21:15.429001,478,191,sitting,reading,book
2023-07-07 19:21:15.637003,467,202,sitting,none,none
2023-07-07 19:21:15.842444,480,195,sitting,reading,book
2023-07-07 19:21:16.046964,466,203,sitting,none,none
2023-07-07 19:21:16.252453,475,192,sitting,none,none
2023-07-07 19:21:16.459995,489,210,standing,none,none
2023-07-07 19:21:16.667064,460,212,sitting,none,none
2023-07-07 19:21:16.872580,473,202,sitting,none,none
2023-07-07 19:21:17.078237,443,190,sitting,none,none
2023-07-07 19:21:17.283099,458,175,sitting,none,none
2023-07-07 19:21:17.490824,462,200,sitting,none,none
2023-07-07 19:21:17.695773,471,202,sitting,none,none
2023-07-07 19:21:17.900531,462,202,sitting,none,none
2023-07-07 19:21:18.107261,474,204,sitting,none,none
2023-07-07 19:21:18.315784,470,194,sitting,none,none
2023-07-07 19:21:18.523011,456,201,sitting,none,none
2023-07-07 19:21:18.728301,468,192,sitting,none,none
2023-07-07 19:21:18.934388,471,199,sitting,reading,book
2023-07-07 19:21:19.139675,501,204,sitting,reading,book
2023-07-07 19:21:19.344647,480,193,sitting,reading,book
2023-07-07 19:21:19.549267,461,184,sitting,none,none
2023-07-07 19:21:19.755414,456,175,sitting,none,none
2023-07-07 19:21:19.964049,491,176,sitting,none,none
2023-07-07 19:21:20.171798,477,172,sitting,none,none
2023-07-07 19:21:20.376659,499,160,sitting,none,none
2023-07-07 19:21:20.583596,503,176,sitting,reading,book
2023-07-07 19:21:20.790090,506,181,sitting,none,none
2023-07-07 19:21:20.996148,535,206,standing,none,none
2023-07-07 19:21:21.200538,519,210,standing,none,none
2023-07-07 19:21:21.405033,524,204,sitting,none,none
2023-07-07 19:21:21.611130,514,217,standing,none,none
2023-07-07 19:21:21.817473,517,212,sitting,none,none
2023-07-07 19:21:22.024697,501,234,sitting,none,none
2023-07-07 19:21:22.229974,476,239,standing,none,none
2023-07-07 19:21:22.435691,459,233,standing,none,none
2023-07-07 19:21:22.640538,424,246,walking,none,none
2023-07-07 19:21:22.845442,426,244,walking,none,none
2023-07-07 19:21:23.050040,413,251,walking,none,none
2023-07-07 19:21:23.255414,381,256,walking,none,none
2023-07-07 19:21:23.460796,344,258,walking,none,none
2023-07-07 19:21:23.668161,327,254,walking,none,none
2023-07-07 19:21:23.874179,313,260,standing,none,none
2023-07-07 19:21:24.079919,298,276,standing,none,none
2023-07-07 19:21:24.286357,290,269,standing,none,none
2023-07-07 19:21:24.493361,289,276,walking,none,none
2023-07-07 19:21:24.697862,302,286,standing,none,none
2023-07-07 19:21:24.903817,304,295,walking,none,none
2023-07-07 19:21:25.111442,311,304,walking,none,none
2023-07-07 19:21:25.319158,314,303,sitting,none,none
2023-07-07 19:21:25.529552,320,306,sitting,working,computer
2023-07-07 19:21:25.738517,320,299,sitting,none,none
2023-07-07 19:21:25.944620,320,291,sitting,none,none
2023-07-07 19:21:26.148910,325,294,sitting,none,none
2023-07-07 19:21:26.353990,330,288,sitting,none,none
2023-07-07 19:21:26.561067,331,291,sitting,none,none
2023-07-07 19:21:26.768614,328,289,sitting,none,none
2023-07-07 19:21:26.974717,318,293,sitting,none,none
2023-07-07 19:21:27.180745,317,293,sitting,none,none
2023-07-07 19:21:27.386036,323,293,sitting,none,none
2023-07-07 19:21:27.591257,327,296,sitting,none,none
2023-07-07 19:21:27.795876,326,294,sitting,none,none
2023-07-07 19:21:28.000319,311,284,sitting,none,none
2023-07-07 19:21:28.206483,310,287,sitting,none,none
2023-07-07 19:21:28.415299,323,292,sitting,none,none
2023-07-07 19:21:28.624345,325,294,sitting,none,none
2023-07-07 19:21:28.830587,323,293,sitting,none,none
2023-07-07 19:21:29.036959,325,302,sitting,working,computer
2023-07-07 19:21:29.242253,324,303,sitting,none,none
2023-07-07 19:21:29.446988,323,309,walking,none,none
2023-07-07 19:21:29.651752,321,309,walking,none,none
2023-07-07 19:21:29.857169,321,302,walking,none,none
2023-07-07 19:21:30.064696,285,264,walking,none,none
2023-07-07 19:21:30.272345,285,258,walking,none,none
2023-07-07 19:21:30.479665,287,271,walking,none,none
2023-07-07 19:21:30.687622,293,266,walking,none,none
2023-07-07 19:21:30.892896,322,265,walking,none,none
2023-07-07 19:21:31.097460,317,251,standing,none,none
2023-07-07 19:21:31.302510,317,251,standing,none,none
2023-07-07 19:21:31.509187,330,263,walking,none,none
2023-07-07 19:21:31.715707,355,280,walking,none,none
2023-07-07 19:21:31.922349,356,280,walking,none,none
2023-07-07 19:21:32.127289,342,285,walking,none,none
2023-07-07 19:21:32.336016,356,282,walking,none,none
2023-07-07 19:21:32.541079,349,286,walking,none,none
2023-07-07 19:21:32.748030,361,280,sitting,none,none
2023-07-07 19:21:32.954287,361,289,sitting,none,none
2023-07-07 19:21:33.161084,363,299,walking,none,none
2023-07-07 19:21:33.366574,369,299,walking,none,none
2023-07-07 19:21:33.571402,371,311,sitting,none,none
2023-07-07 19:21:33.775962,396,318,sitting,none,none
2023-07-07 19:21:33.980365,472,333,walking,none,none
2023-07-07 19:21:34.186339,472,333,walking,none,none
2023-07-07 19:21:34.391687,478,333,walking,none,none
2023-07-07 19:21:34.596777,439,320,walking,none,none
2023-07-07 19:21:34.806416,439,320,walking,none,none
2023-07-07 19:21:35.013344,476,333,walking,none,none
2023-07-07 19:21:35.218952,476,333,walking,none,none
2023-07-07 19:21:35.424702,471,333,walking,none,none
2023-07-07 19:21:35.629410,466,333,standing,none,none
2023-07-07 19:21:35.837313,466,333,standing,none,none
2023-07-07 19:21:36.042295,472,333,walking,none,none
2023-07-07 19:21:36.247479,435,321,sitting,none,none
2023-07-07 19:21:36.454753,439,321,sitting,none,none
2023-07-07 19:21:36.660472,481,333,sitting,none,none
2023-07-07 19:21:36.866187,417,319,sitting,none,none
2023-07-07 19:21:37.071396,390,299,sitting,none,none
2023-07-07 19:21:37.275770,366,293,sitting,none,none
2023-07-07 19:21:37.480291,367,278,walking,none,none
2023-07-07 19:21:37.685520,361,279,walking,none,none
2023-07-07 19:21:37.890807,352,269,walking,none,none
2023-07-07 19:21:38.095587,375,274,walking,none,none
2023-07-07 19:21:38.301635,386,269,walking,none,none
2023-07-07 19:21:38.506694,394,254,walking,none,none
2023-07-07 19:21:38.712598,418,259,standing,none,none
2023-07-07 19:21:38.918444,467,260,standing,none,none
2023-07-07 19:21:39.123264,468,275,standing,none,none
2023-07-07 19:21:39.328680,476,263,sitting,none,none
2023-07-07 19:21:39.533428,505,297,sitting,none,none
2023-07-07 19:21:39.738994,534,307,sitting,none,none
2023-07-07 19:21:39.944823,519,301,sitting,none,none
2023-07-07 19:21:40.152644,564,337,sitting,none,none
2023-07-07 19:21:40.359025,571,350,sitting,none,none
2023-07-07 19:21:40.564371,570,402,standing,none,none
2023-07-07 19:21:40.973503,544,420,standing,none,none
2023-07-07 19:21:41.178162,553,445,walking,none,none
2023-07-07 19:21:45.285130,549,486,walking,none,none
2023-07-07 19:21:45.490462,549,486,walking,none,none
2023-07-07 19:21:45.901888,553,486,sitting,none,none
2023-07-07 19:21:46.107002,553,486,sitting,none,none
2023-07-07 19:21:46.312177,553,486,sitting,none,none
2023-07-07 19:21:46.517742,551,485,walking,none,none
2023-07-07 19:21:46.722575,551,485,walking,none,none
2023-07-07 19:21:46.928045,551,485,walking,none,none
2023-07-07 19:21:47.338027,550,483,standing,none,none
2023-07-07 19:21:47.542719,550,483,standing,none,none
2023-07-07 19:21:48.156390,545,478,walking,none,none
2023-07-07 19:21:48.360790,545,478,walking,none,none
2023-07-07 19:21:48.772413,551,460,standing,none,none
2023-07-07 19:21:48.976668,551,460,standing,none,none
2023-07-07 19:21:53.087054,401,481,walking,none,none
2023-07-07 19:21:58.838313,382,475,sitting,none,none
2023-07-07 19:21:59.043040,371,474,sitting,none,none
2023-07-07 19:22:03.973142,228,478,standing,none,none
2023-07-07 19:22:04.180986,195,436,standing,none,none
2023-07-07 19:22:04.388529,183,414,walking,none,none
2023-07-07 19:22:04.593796,177,398,standing,none,none
2023-07-07 19:22:04.799324,156,360,walking,none,none
2023-07-07 19:22:05.006628,149,350,standing,none,none
2023-07-07 19:22:05.211716,136,317,walking,none,none
2023-07-07 19:22:05.416451,123,289,walking,none,none
2023-07-07 19:22:05.622449,102,253,walking,none,none
2023-07-07 19:22:05.832091,95,240,walking,none,none
2023-07-07 19:22:06.041976,99,214,walking,none,none
2023-07-07 19:22:06.246469,93,192,walking,none,none
2023-07-07 19:22:06.451740,91,168,walking,none,none
2023-07-07 19:22:06.660604,87,155,walking,none,none
2023-07-07 19:22:06.865367,92,143,walking,none,none
2023-07-07 19:22:07.071502,91,130,standing,none,none
2023-07-07 19:22:07.280104,96,131,walking,none,none
2023-07-07 19:22:07.487413,103,138,walking,none,none
2023-07-07 19:22:07.692432,117,152,standing,none,none
2023-07-07 19:22:07.898984,128,161,standing,none,none
2023-07-07 19:22:08.104103,139,174,sitting,none,none
2023-07-07 19:22:08.309123,145,179,sitting,none,none
2023-07-07 19:22:08.514073,133,178,sitting,none,none
2023-07-07 19:22:08.720256,130,175,sitting,none,none
2023-07-07 19:22:08.928153,130,172,sitting,none,none
2023-07-07 19:22:09.136480,125,172,sitting,none,none
2023-07-07 19:22:09.341517,121,170,sitting,none,none
2023-07-07 19:22:09.547759,117,171,sitting,none,none
2023-07-07 19:22:09.752935,120,174,sitting,none,none
2023-07-07 19:22:09.958482,118,176,sitting,none,none
2023-07-07 19:22:10.163368,117,176,sitting,none,none
2023-07-07 19:22:10.372540,117,174,sitting,none,none
2023-07-07 19:22:10.582437,114,177,sitting,none,none
2023-07-07 19:22:10.787837,118,173,sitting,none,none
2023-07-07 19:22:10.994203,114,176,sitting,none,none
2023-07-07 19:22:11.199540,115,171,sitting,none,none
2023-07-07 19:22:11.406072,106,176,sitting,none,none
2023-07-07 19:22:11.611876,108,173,sitting,none,none
2023-07-07 19:22:11.817171,108,173,sitting,none,none
2023-07-07 19:22:12.024828,109,177,sitting,none,none
2023-07-07 19:22:12.233142,109,177,sitting,none,none
2023-07-07 19:22:12.441831,104,178,sitting,none,none
2023-07-07 19:22:12.647450,118,174,sitting,none,none
2023-07-07 19:22:12.853437,112,177,sitting,none,none
2023-07-07 19:22:13.058799,119,177,sitting,none,none
2023-07-07 19:22:13.263280,117,174,sitting,none,none
2023-07-07 19:22:13.469777,118,172,sitting,none,none
2023-07-07 19:22:13.678493,125,174,sitting,none,none
2023-07-07 19:22:13.888242,123,173,sitting,none,none
2023-07-07 19:22:14.093857,119,176,sitting,none,none
2023-07-07 19:22:14.301093,111,179,sitting,none,none
2023-07-07 19:22:14.506844,108,181,sitting,none,none
2023-07-07 19:22:14.715011,112,184,sitting,none,none
2023-07-07 19:22:14.919975,116,178,sitting,none,none
2023-07-07 19:22:15.127136,117,176,sitting,none,none
2023-07-07 19:22:15.337391,119,175,sitting,none,none
2023-07-07 19:22:15.543655,119,175,sitting,none,none
2023-07-07 19:22:15.755307,113,175,sitting,none,none
2023-07-07 19:22:15.959838,114,174,sitting,none,none
2023-07-07 19:22:16.164790,110,173,sitting,none,none
2023-07-07 19:22:16.372050,115,167,sitting,none,none
2023-07-07 19:22:16.581840,109,175,sitting,none,none
2023-07-07 19:22:16.788182,114,174,sitting,none,none
